This model has the greatest balance between FN and FP, and the greatest CV performance
Therefore it's best suited for tasks involving pure discrimination for tasks that aren't necessarily clinically essential

Optimal Hyperparameters: {'n_estimators': 1677, 'max_depth': 10, 'learning_rate': 0.039293549864997175, 'subsample': 0.9969933786793387, 'colsample_bytree': 0.6482133739319931, 'colsample_bylevel': 0.6039302725209573, 'reg_alpha': 0.46607769424421325, 'reg_lambda': 3.441382674128201, 'gamma': 0.28487791075581864, 'min_child_weight': 2, 'scale_pos_weight': 1.6355990026202318}
Cross Validation Results: Mean ROC AUC: 0.8985, Mean PR AUC: 0.8938
Mean FNs: 5411.20, Mean FPs: 5466.60
ROC AUC: 0.9003
Precision-Recall AUC: 0.8967
Pathogenic F1-Score: 0.8059
Optimal threshold for pathogenic detection: 0.496
Performance with optimal threshold:
              precision    recall  f1-score   support

           0       0.84      0.84      0.84     41774
           1       0.81      0.81      0.81     34814

    accuracy                           0.82     76588
   macro avg       0.82      0.82      0.82     76588
weighted avg       0.82      0.82      0.82     76588
Confusion Matrix:
2xScale_RefNB2_processing_rawc: 0.0010
2xScale_varSubgr_delta__transcribable_rawc: 0.0010
2xScale_RefNB2_coding_rawc: 0.0010
2xScale_RefNB1_processing_rawc: 0.0010
1xScale_RefNB2_CDS_rawc: 0.0010
1xScale_CDS_to_Exon: 0.0010
0.5xScale_varSubgr_delta__transcribable_log2: 0.0010
2xScale_RefNB1_coding_rawc: 0.0010
Aliphatic_delta: 0.0010
2xScale_Intron_to_CDS: 0.0010
glyc_count_delta: 0.0010
1xScale_RefNB1_Intron_rawc: 0.0010
0.5xScale_varState_delta__5UTR_log2: 0.0010
2xScale_RefNB2_regulatory_rawc: 0.0011
tata_count: 0.0011
FI_Hydro_Structs: 0.0011
0.5xScale_RefNB2_transcribable_rawc: 0.0011
phos_count_delta: 0.0011
1xScale_RefNB1_transcribable_rawc: 0.0011
1xScale_varSubgr_delta__regulatory_rawc: 0.0011
0.5xScale_RefNB2_coding_rawc: 0.0011
2xScale_RefNB2_Exon_rawc: 0.0011
2xScale_RefNB2_transcribable_rawc: 0.0011
SH2_domain_cluster_score: 0.0011
SH2_clusters_delta: 0.0011
1xScale_RefNB1_noncoding_rawc: 0.0011
0.5xScale_RefNB2_Intron_rawc: 0.0011
2xScale_RefNB2_CDS_rawc: 0.0011
2xScale_CDS_to_Exon: 0.0011
FI_Charge_Hydro: 0.0011
2xScale_Exon_to_Intron: 0.0011
2xScale_RefNB1_CDS_rawc: 0.0011
2xScale_RefNB1_Exon_rawc: 0.0011
0.5xScale_varState_delta__CDS_pctg: 0.0011
Net_charge_delta: 0.0011
1xScale_varSubgr_delta__transcribable_rawc: 0.0011
0.5xScale_varSubgr_delta__coding_log2: 0.0011
1xScale_varSubgr_delta__coding_rawc: 0.0011
FI_Secondary_Global: 0.0011
1xScale_RefNB1_CDS_rawc: 0.0011
SH2_count_delta: 0.0011
2xScale_varSubgr_delta__processing_rawc: 0.0011
Proline_delta: 0.0011
2xScale_Intron_to_Exon: 0.0011
2xScale_RefNB2_Intron_rawc: 0.0011
0.5xScale_RefNB2_regulatory_rawc: 0.0011
0.5xScale_varSubgr_delta__coding_rawc: 0.0011
1xScale_varSubgr_delta__noncoding_rawc: 0.0011
2xScale_varSubgr_delta__noncoding_rawc: 0.0011
1433_count_delta: 0.0011
1xScale_RefNB1_regulatory_rawc: 0.0011
FI_Relative_stability: 0.0011
SH2_score_delta: 0.0011
1xScale_RefNB2_processing_rawc: 0.0011
1xScale_RefNB1_processing_rawc: 0.0012
1xScale_RefNB2_noncoding_rawc: 0.0012
1xScale_RefNB2_Exon_rawc: 0.0012
1xScale_RefNB2_Intron_rawc: 0.0012
phos_clusters_composite_delta: 0.0012
nfkb_cluster: 0.0012
nfkb_score: 0.0012
TF_score_shift: 0.0012
TOTAL_DNA_MOTIF_SCORE: 0.0012
TOTAL_DNA_MOTIF_CLUSTER: 0.0012
FI_Relative_length_context: 0.0013
FI_Iso_Hydro: 0.0013
1xScale_RefNB1_Exon_rawc: 0.0013
ctcf_score: 0.0013
PTR_domain_cluster_shift: 0.0013
Hydrophobicity_delta: 0.0013
0.5xScale_RefNB1_Exon_rawc: 0.0013
TOTAL_DNA_MOTIF_DOMAIN_CLUSTER: 0.0013
Molecular_weight_delta: 0.0013
Isoelectric_delta: 0.0013
0.5xScale_RefNB1_regulatory_rawc: 0.0013
0.5xScale_Boundary_Composite_delta: 0.0014
1xScale_RefNB2_transcribable_rawc: 0.0014
0.5xScale_RefNB1_transcribable_rawc: 0.0014
0.5xScale_RefNB1_coding_rawc: 0.0014
1xScale_RefNB2_regulatory_rawc: 0.0014
AA_Local_score: 0.0014
0.5xScale_RefNB1_noncoding_rawc: 0.0014
0.5xScale_RefNB1_processing_rawc: 0.0014
AA_Global_score: 0.0014
init_domain_cluster_shift: 0.0014
0.5xScale_RefNB2_CDS_rawc: 0.0014
FI_charge_composite: 0.0014
init_cluster_shift: 0.0014
sp5_count: 0.0015
init_motif_count: 0.0015
0.5xScale_RefNB1_Intron_rawc: 0.0015
PTR_cluster_shift: 0.0015
init_score_shift: 0.0015
0.5xScale_varState_delta__3UTR_log2: 0.0015
tata_score: 0.0015
0.5xScale_RefNB2_processing_rawc: 0.0016
0.5xScale_V_prob_delta: 0.0016
Chromosome_density: 0.0016
0.5xScale_RefNB2_Exon_rawc: 0.0016
1xScale_RefNB2_coding_rawc: 0.0016
tr_bp_gain: 0.0016
Half_life_delta: 0.0017
Shannon_entropy: 0.0018
sp1_score: 0.0018
2xScale_V_prob_delta: 0.0018
GC_context_delta: 0.0018
tr_weighted_bploss: 0.0019
1xScale_V_prob_delta: 0.0019
tr_weighted_bpgain: 0.0019
sp1_cluster: 0.0019
FI_Weight_life: 0.0019
1xScale_Boundary_Composite_delta: 0.0019
sp3_score: 0.0020
inr_cluster: 0.0020
Chromosome: 0.0021
2xScale_Boundary_Composite_delta: 0.0022
polyad_cluster: 0.0023
0.5xScale_varSubgr_delta__processing_rawc: 0.0025
inr_score: 0.0025
1xScale_varState_delta__5UTR_log2: 0.0027
0.5xScale_varState_delta__Exon_rawc: 0.0028
Local_score: 0.0028
tata_cluster: 0.0028
Start_codons: 0.0028
kozak_count: 0.0030
1xScale_varState_delta__Intergenic_log2: 0.0030
0.5xScale_RefNB1_CDS_rawc: 0.0031
sp5_score: 0.0032
0.5xScale_varState_delta__Intergenic_log2: 0.0034
polyad_score: 0.0034
Local_pct: 0.0035
TF_domain_cluster_shift: 0.0035
TF_cluster_shift: 0.0036
PTR_score_shift: 0.0036
kozak_score: 0.0037
Hairpins: 0.0038
tr_bp_loss: 0.0039
Microsat_delta: 0.0039
sp3_cluster: 0.0039
Insertion_length: 0.0040
branch_pt_score: 0.0041
Poly_tracts: 0.0041
Tandem_Duplications: 0.0044
caat_score: 0.0045
2xScale_varState_delta__3UTR_log2: 0.0045
Thermodynamic_stability: 0.0046
2xScale_varState_delta__5UTR_log2: 0.0053
FI_Mutation_composite: 0.0055
Global_pct: 0.0062
Length_change_context: 0.0066
2xScale_varState_delta__Intergenic_log2: 0.0067
FI_relative_global: 0.0067
relative_local: 0.0068
ap1_score: 0.0070
PTR_motif_count: 0.0071
FI_Mutation_propensity: 0.0076
creb_score: 0.0077
1xScale_varState_delta__3UTR_log2: 0.0113
inr_count: 0.0123
Global_score: 0.0146
FI_General_Stability: 0.0168
tr_expansion_score: 0.0180
AA_Global_pct: 0.0211
Length_change: 0.0249
Stop_codons: 0.0261
tr_composite_score: 0.0518
tr_weighted_contraction_score: 0.0608
tr_weighted_expansion_score: 0.0616
tr_contraction_score: 0.0623
SNVs: 0.1066
tr_base_composite: 0.1165
